# depth[mm]	Amp[V]	HF [V]	TGC [dB]
84.9	0.049	-0.047	22.362
85.0	0.044	-0.023	22.362
85.2	0.040	0.016	22.520
85.3	0.040	0.040	22.520
85.4	0.043	0.032	22.520
85.6	0.047	-0.007	22.520
85.7	0.049	-0.039	22.520
85.8	0.049	-0.047	22.520
86.0	0.047	0.001	22.677
86.1	0.045	0.040	22.677
86.2	0.042	0.032	22.677
86.4	0.039	0.001	22.677
86.5	0.033	-0.031	22.835
86.6	0.026	-0.023	22.835
86.8	0.020	-0.007	22.835
86.9	0.017	0.009	22.835
87.0	0.016	0.016	22.835
87.2	0.017	0.009	22.835
87.3	0.017	-0.007	22.835
87.4	0.014	-0.015	22.835
87.6	0.012	-0.007	22.992
87.7	0.010	0.001	23.150
87.8	0.012	0.009	22.992
88.0	0.016	0.016	22.992
88.1	0.019	0.001	23.150
88.2	0.020	-0.015	23.150
88.4	0.017	-0.015	23.150
88.5	0.012	0.001	23.307
88.6	0.008	0.009	23.307
88.8	0.005	0.001	23.150
88.9	0.005	0.001	23.307
89.0	0.006	-0.007	23.307
89.2	0.008	0.001	23.307
89.3	0.010	0.009	23.465
89.4	0.012	0.009	23.465
89.6	0.011	0.001	23.465
89.7	0.010	-0.007	23.465
89.8	0.008	-0.007	23.465
90.0	0.007	-0.007	23.465
90.1	0.009	0.001	23.622
90.2	0.011	0.009	23.622
90.4	0.012	0.009	23.622
90.5	0.011	-0.007	23.622
90.6	0.008	-0.007	23.622
90.8	0.004	0.001	23.622
90.9	0.002	0.001	23.780
91.0	0.004	0.001	23.780
91.2	0.006	-0.007	23.780
91.3	0.009	0.001	23.937
91.4	0.009	0.009	23.937
91.6	0.007	0.001	23.937
91.7	0.006	0.001	23.937
91.8	0.005	-0.007	23.937
92.0	0.006	0.001	23.937
92.1	0.006	0.001	23.937
92.2	0.006	-0.007	23.937
92.4	0.004	0.001	23.937
92.5	0.002	0.001	24.094
92.6	0.001	0.001	24.252
92.8	0.002	0.001	24.094
92.9	0.004	0.001	24.252
93.0	0.007	-0.007	24.252
93.2	0.009	-0.007	24.252
93.3	0.010	0.001	24.252
93.5	0.010	0.009	24.252
93.6	0.009	0.009	24.252
93.7	0.008	0.001	24.252
93.9	0.006	-0.007	24.409
94.0	0.006	0.001	24.409
94.1	0.008	-0.007	24.567
94.3	0.010	-0.007	24.567
94.4	0.011	0.009	24.567
94.5	0.010	0.009	24.567
94.7	0.007	0.001	24.567
94.8	0.003	0.001	24.567
94.9	0.001	0.001	24.724
95.1	0.001	0.001	24.724
95.2	0.003	0.001	24.724
95.3	0.006	0.001	24.724
95.5	0.007	0.001	24.724
95.6	0.007	-0.007	24.724
95.7	0.006	-0.007	24.882
95.9	0.006	0.001	24.882
96.0	0.007	0.001	24.882
96.1	0.008	0.009	24.882
96.3	0.007	-0.007	24.882
96.4	0.005	0.001	24.882
96.5	0.003	0.001	24.882
96.7	0.002	0.001	24.724
96.8	0.003	0.001	24.724
96.9	0.006	0.001	24.094
97.1	0.008	-0.007	21.260
97.2	0.008	-0.007	18.110
97.3	0.009	-0.007	14.803
97.5	0.009	0.001	11.339
97.6	0.011	0.009	8.189
97.7	0.012	0.009	5.827
97.9	0.011	-0.007	4.094
98.0	0.008	-0.007	2.835
98.1	0.004	0.001	1.890
98.3	0.001	0.001	1.260
98.4	0.001	0.001	0.945
98.5	0.003	0.001	0.787
98.7	0.005	-0.007	0.630
98.8	0.006	0.001	0.472
98.9	0.004	0.001	0.472
99.1	0.002	0.001	0.472
99.2	0.000	0.001	0.315
99.3	0.001	0.001	0.315
99.5	0.001	0.001	0.315
99.6	0.002	0.001	0.315
99.7	0.002	0.001	0.315
99.9	0.001	0.001	0.315
100.0	0.001	0.001	0.157
100.1	0.001	0.001	0.315
100.3	0.001	0.001	0.157
100.4	0.001	0.001	0.157
100.5	0.001	0.001	0.157
100.7	0.001	0.001	0.157
100.8	0.001	0.001	0.157
100.9	0.001	0.001	0.157
